City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Abu Dhabi,AE,24.4667,54.3667,102.31,53,4,6.91,clear sky
221,Coahuayana,MX,18.7333,-103.6833,85.48,71,76,1.25,broken clouds
222,Tautira,PF,-17.7333,-149.15,75.22,76,40,4.03,scattered clouds
223,Ulladulla,AU,-35.35,150.4667,56.77,60,100,11.43,overcast clouds
224,Buta,CD,2.7858,24.73,71.56,94,99,5.32,moderate rain
225,Half Moon Bay,US,37.4636,-122.4286,68.59,86,90,1.01,overcast clouds
226,Mount Isa,AU,-20.7333,139.5,46.17,53,2,6.91,clear sky
227,Sabha,LY,27.0377,14.4283,97.14,14,0,10.4,clear sky
228,Ucluelet,CA,48.9329,-125.5528,60.1,93,43,3.22,scattered clouds
229,Bandarbeyla,SO,9.4942,50.8122,81.68,62,77,27.38,broken clouds
230,Byron Bay,AU,-28.65,153.6167,54.72,66,88,6.22,overcast clouds
231,San Patricio,US,28.017,-97.5169,89.46,56,81,3.56,broken clouds
232,Ancud,CL,-41.8697,-73.8203,45.93,65,35,8.12,scattered clouds
233,Mount Gambier,AU,-37.8333,140.7667,51.71,87,90,11.5,overcast clouds
234,Naze,JP,28.3667,129.4833,77.23,86,100,13.56,overcast clouds
235,Severo-Kurilsk,RU,50.6789,156.125,57.16,90,76,4.92,broken clouds
236,Yatou,CN,37.15,122.3833,77.11,91,100,7.0,overcast clouds
237,Nago,JP,26.5881,127.9761,82.83,91,99,11.65,overcast clouds
238,Moose Factory,CA,51.2585,-80.6094,55.4,76,75,6.91,broken clouds
239,Cockburn Town,TC,21.4612,-71.1419,85.96,70,20,11.5,few clouds
240,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,44,0,14.97,clear sky
241,Cullman,US,34.1748,-86.8436,88.81,85,31,3.49,scattered clouds
242,Kaitangata,NZ,-46.2817,169.8464,49.93,63,100,8.97,moderate rain
243,Kruisfontein,ZA,-34.0033,24.7314,65.88,21,100,16.13,overcast clouds
244,Ayagoz,KZ,47.9714,80.4392,72.45,58,58,29.12,broken clouds
245,Halifax,CA,44.6453,-63.5724,68.68,94,90,3.0,light intensity drizzle
246,Beringovskiy,RU,63.05,179.3167,52.45,95,100,6.04,overcast clouds
247,Nyahururu,KE,0.0421,36.3673,54.61,89,92,2.1,light rain
248,Beisfjord,NO,68.3751,17.5988,76.05,62,92,4.0,overcast clouds
249,Tiksi,RU,71.6872,128.8694,39.7,97,100,12.24,overcast clouds
250,Alofi,NU,-19.0595,-169.9187,71.49,100,40,4.61,scattered clouds
251,Sarany,RU,58.5,58.8833,52.23,80,76,4.81,broken clouds
252,Bluefields,NI,12.0137,-83.7635,84.27,84,75,4.61,broken clouds
253,Ahipara,NZ,-35.1667,173.1667,55.09,84,14,17.27,few clouds
254,Bojnurd,IR,37.4747,57.329,87.75,42,20,18.41,few clouds
255,Katsuura,JP,35.1333,140.3,80.11,76,100,20.11,heavy intensity rain
256,Waddan,LY,29.1614,16.139,95.18,18,0,11.68,clear sky
257,Lebu,CL,-37.6167,-73.65,47.59,68,14,12.35,few clouds
258,Alice Springs,AU,-23.7,133.8833,62.15,23,55,10.36,broken clouds
259,Shingu,JP,33.7333,135.9833,73.36,85,100,6.55,overcast clouds
260,Damavand,IR,35.7178,52.065,91.24,23,26,3.29,scattered clouds
261,Fatwa,IN,25.5167,85.3167,82.49,62,100,5.91,light rain
262,Barrow,US,71.2906,-156.7887,39.22,99,90,11.5,light rain
263,Dabhol,IN,17.6,73.1667,78.58,86,77,14.0,broken clouds
264,Saint-Georges,GD,12.0564,-61.7485,78.48,94,75,11.5,broken clouds
265,Sambava,MG,-14.2667,50.1667,70.65,79,100,15.9,overcast clouds
266,Doctor Arroyo,MX,23.6667,-100.1833,73.04,46,4,0.43,clear sky
267,Ushtobe,KZ,45.2514,77.9838,87.31,25,0,8.95,clear sky
268,Broken Hill,AU,-31.95,141.4333,53.31,43,28,8.05,scattered clouds
269,Ganzhou,CN,28.8184,115.4327,80.26,81,8,4.32,clear sky
270,Brae,GB,60.3964,-1.353,58.91,94,100,14.76,overcast clouds
271,Eureka,US,40.8021,-124.1637,52.41,84,100,3.29,overcast clouds
272,Kungurtug,RU,50.5994,97.5228,56.23,88,85,1.97,overcast clouds
273,Buraydah,SA,26.326,43.975,111.65,8,16,20.76,few clouds
274,Antofagasta,CL,-23.65,-70.4,64.22,54,31,11.5,scattered clouds
275,Dhidhdhoo,MV,6.8833,73.1,81.79,77,98,11.23,overcast clouds
276,Caravelas,BR,-17.7125,-39.2481,78.4,57,2,7.76,clear sky
277,Yerbogachen,RU,61.2767,108.0108,67.73,66,39,3.42,scattered clouds
278,Vostok,RU,46.4856,135.8833,72.0,85,93,3.65,overcast clouds
279,Belmonte,BR,-15.8631,-38.8828,75.7,75,24,7.29,few clouds
280,Crotone,IT,39.0851,17.1178,87.75,51,0,13.8,clear sky
281,Xining,CN,36.6167,101.7667,57.42,80,98,3.2,overcast clouds
282,Gaya,IN,24.7833,85.0,85.91,79,75,0.0,mist
283,Ponto Novo,BR,-10.8628,-40.1336,77.97,56,92,9.15,overcast clouds
284,Carnarvon,AU,-24.8667,113.6333,69.87,89,75,14.97,broken clouds
285,Ambon,ID,-3.6954,128.1814,75.34,88,20,8.05,few clouds
286,Umtata,ZA,-31.5889,28.7844,64.96,19,0,2.3,clear sky
287,Dolores,AR,-36.3132,-57.6792,54.12,42,77,11.48,broken clouds
288,Samarai,PG,-10.6167,150.6667,77.34,85,99,17.96,overcast clouds
289,Bouloupari,NC,-21.8667,166.05,68.95,77,74,4.32,broken clouds
290,Tessalit,ML,20.1986,1.0114,105.84,16,38,8.52,scattered clouds
291,Agirish,RU,61.9247,63.0231,55.24,78,49,4.59,scattered clouds
292,Siderno,IT,38.2779,16.302,92.28,53,1,7.07,clear sky
293,Poum,NC,-20.2333,164.0167,70.29,70,73,16.71,broken clouds
294,Archidona,ES,37.0965,-4.3887,88.36,29,0,8.72,clear sky
295,Roald,NO,62.5833,6.1333,81.52,73,0,11.5,clear sky
296,Lorengau,PG,-2.0226,147.2712,81.28,76,30,4.05,scattered clouds
297,Tiarei,PF,-17.5333,-149.3333,75.22,76,34,4.74,scattered clouds
298,Santa Rosa,PH,14.3122,121.1114,82.9,84,100,15.01,overcast clouds
299,Wanaka,NZ,-44.7,169.15,44.11,99,100,5.88,overcast clouds
300,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,84,40,17.27,scattered clouds
301,Canton,CN,23.1167,113.25,90.88,56,99,6.91,overcast clouds
302,Vagay,RU,57.9375,69.0217,55.89,70,100,6.13,overcast clouds
303,Chifeng,CN,42.2683,118.9636,74.26,73,100,8.14,light rain
304,Chapleau,CA,47.8405,-83.4034,68.09,64,20,4.61,smoke
305,Zamora,EC,-4.0692,-78.9567,81.64,56,9,5.41,clear sky
